study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,l_b,,,,,0,11,11,11,,,,,87.5697956,87.5697956,87.5697956,0.0052156,lob,,,,,,,,,,,,,
,d_g,,,,,0,12,12,14,,,,,94.11869,94.11869,94.11869,0.010084,dog,,,,,,,,,,,,,
,p_n,,,,,0,13,13,6,,,,,98.0182201,98.0182201,98.0182201,0.0054357,pen,,,,,,,,,,,,,
,ca_,,,,,0,14,14,13,,,,,105.3510089,105.3510089,105.3510089,0.0042837,cat,,,,,,,,,,,,,
,t_g_r,,,,,0,15,15,1,,,,,109.4667384,109.4667384,109.4667384,0.0052616,tiger,,,,,,,,,,,,,
,b_t_l_,,,,,0,16,16,5,,,,,112.1662283,112.1662283,112.1662283,0.0059179,bottle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit,4*17,0.235294118,0.002352941,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit(non primed),9*17,0.529411765,0.005294118,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,priming score,-0.002941176,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayushi,P_ste_,poster,old,,,,,0,0,0,15,,,,,50.6391408,50.6391408,50.6391408,0.015276,"poster
",,,,,,,,,,,
,P_str_,Pastry,old,,,,,0,1,1,11,,,,,57.6389308,57.6389308,57.6389308,0.0031434,poster,,,,,,,,,,,
,Pe_c_l,pencil,new,,,,,0,2,2,17,,,,,67.6524131,67.6524131,67.6524131,0.015381,pencil,,,,,,,,,,,
,T_hi_t,T-shirt,old,,,,,0,3,3,9,,,,,72.4983208,72.4983208,72.4983208,0.0033793,t-shirt,,,,,,,,,,,
,c_s_h_o_n,cushion,old,,,,,0,4,4,3,,,,,78.4822287,78.4822287,78.4822287,0.0028698,cushion,,,,,,,,,,,
,T_bl_,table,new,,,,,0,5,5,18,,,,,84.5284176,84.5284176,84.5284176,0.0037056,table,,,,,,,,,,,
,_sr_le,marble,old,,,,,0,6,6,16,,,,,88.9769213,88.9769213,88.9769213,0.0034026,,,,,,,,,,,,
,_a_e,vase,new,,,,,0,7,7,0,,,,,98.9904133,98.9904133,98.9904133,0.0158328,vase,,,,,,,,,,,
,l_p_t_p,laptop,old,,,,,0,8,8,7,,,,,102.6071384,102.6071384,102.6071384,0.002795,laptop,,,,,,,,,,,
,_ha_t,chart,old,,,,,0,9,9,8,,,,,106.5060907,106.5060907,106.5060907,0.0032869,chart,,,,,,,,,,,
,_ou_se,mouse,old,,,,,0,10,10,10,,,,,111.6859022,111.6859022,111.6859022,0.0035801,mouse,,,,,,,,,,,
,t_g_r,tiger,old ,,,,,0,11,11,1,,,,,114.5682266,114.5682266,114.5682266,0.007535,tiger,,,,,,,,,,,
,_ru_se,cruise,old,,,,,0,12,12,14,,,,,116.9172467,116.9172467,116.9172467,0.004628,cruise,,,,,,,,,,,
,K_y_,Keys,old,,,,,0,13,13,12,,,,,121.8991017,121.8991017,121.8991017,0.0064134,keys,,,,,,,,,,,
,P_li_e,Police,old,,,,,0,14,14,13,,,,,124.3998659,124.3998659,124.3998659,0.0027229,police,,,,,,,,,,,
,c_m_r_,camera,new,,,,,0,15,15,5,,,,,127.3995044,127.3995044,127.3995044,0.002731,camera,,,,,,,,,,,
,_h_ne,phone,old,,,,,0,16,16,6,,,,,130.1143726,130.1143726,130.1143726,0.0030846,phone,,,,,,,,,,,
,Bo__le,bottle,new,,,,,0,17,17,19,,,,,132.7472303,132.7472303,132.7472303,0.0053755,bottle,,,,,,,,,,,
,_ia_o,piano,old,,,,,0,18,18,4,,,,,136.3609029,136.3609029,136.3609029,0.0033607,piano,,,,,,,,,,,
,_oo_,book,old,,,,,0,19,19,2,,,,,141.3928737,141.3928737,141.3928737,0.0034535,book,,,,,,,,,,,
,,,,,,,,,,,,,No. of hit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (non prime),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prime score,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muskan,_ia_o,,,,,0,0,0,4,,,,,54.7926696,54.7926696,54.7926696,0.1249498,piano,,,,,,,,,,,,,
,li_e,,,,,0,1,1,7,,,,,62.8587768,62.8587768,62.8587768,0.0053664,lime,,,,,,,,,,,,,
,hi_to_y,,,,,0,2,2,9,,,,,71.8903924,71.8903924,71.8903924,0.0092852,,,,,,,,,,,,,,
,t_xt,,,,,0,3,3,16,,,,,81.9057978,81.9057978,81.9057978,0.019375,history,,,,,,,,,,,,,
,t_g_r,,,,,0,4,4,1,,,,,88.1717436,88.1717436,88.1717436,0.0050285,tiger,,,,,,,,,,,,,
,c_s_i_n,,,,,0,5,5,3,,,,,93.1044853,93.1044853,93.1044853,0.0048985,cushion,,,,,,,,,,,,,
,ca_,,,,,0,6,6,13,,,,,102.4032256,102.4032256,102.4032256,0.004641,cat,,,,,,,,,,,,,
,_oo_,,,,,0,7,7,2,,,,,106.8526053,106.8526053,106.8526053,0.0044452,cool,,,,,,,,,,,,,
,v_o_i_,,,,,0,8,8,15,,,,,111.1020539,111.1020539,111.1020539,0.0052862,violin,,,,,,,,,,,,,
,d_g,,,,,0,9,9,14,,,,,120.6172575,120.6172575,120.6172575,0.0071955,dog,,,,,,,,,,,,,
,p_n,,,,,0,10,10,6,,,,,126.9167606,126.9167606,126.9167606,0.0047688,pin,,,,,,,,,,,,,
,b_t_l_,,,,,0,11,11,5,,,,,130.4998319,130.4998319,130.4998319,0.0050726,bottle,,,,,,,,,,,,,
,_a_t_p ,,,,,0,12,12,8,,,,,136.2991977,136.2991977,136.2991977,0.005235,laptop,,,,,,,,,,,,,
,_a_e,,,,,0,13,13,0,,,,,146.3141183,146.3141183,146.3141183,0.0172988,,,,,,,,,,,,,,
,h_ir,,,,,0,14,14,10,,,,,146.9674727,146.9674727,146.9674727,0.0044793,hair,,,,,,,,,,,,,
,a_p_e,,,,,0,15,15,12,,,,,150.9969648,150.9969648,150.9969648,0.0048898,apple,,,,,,,,,,,,,
,l_b,,,,,0,16,16,11,,,,,155.4963747,155.4963747,155.4963747,0.0051193,lab,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,No. of hit,3*17,0.176470588,0.001764706,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (non prime),9*17,0.529411765,0.005294118,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prime score,-0.003529412,,,,,,,,,,,,,,,,,
